IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.32.160,4,4,0.00,68.21,0.33,SIN
162.159.62.141,4,4,0.00,65.50,0.00,N/A
162.159.58.68,4,4,0.00,67.45,0.00,N/A
162.159.56.129,4,4,0.00,67.47,0.00,N/A
162.159.57.26,4,4,0.00,68.27,0.00,N/A
162.159.27.14,4,4,0.00,68.64,0.00,N/A
162.159.24.48,4,4,0.00,69.74,0.00,N/A
162.159.25.143,4,4,0.00,70.07,0.00,N/A
162.159.61.231,4,4,0.00,70.13,0.00,N/A
162.159.32.127,4,4,0.00,71.76,0.00,N/A
162.159.10.94,4,4,0.00,71.98,0.00,N/A
108.162.193.208,4,4,0.00,72.04,0.00,N/A
162.159.35.160,4,4,0.00,72.33,0.00,N/A
198.41.223.176,4,4,0.00,73.20,0.00,N/A
162.159.49.219,4,4,0.00,73.86,0.00,N/A
162.159.50.57,4,4,0.00,73.93,0.00,N/A
162.159.51.224,4,4,0.00,74.12,0.00,N/A
162.159.48.18,4,4,0.00,74.13,0.00,N/A
162.159.36.97,4,4,0.00,75.10,0.00,N/A
162.159.26.100,4,4,0.00,75.15,0.00,N/A
162.159.34.2,4,4,0.00,76.24,0.00,N/A
162.159.33.50,4,4,0.00,76.33,0.00,N/A
162.159.46.202,4,4,0.00,78.72,0.00,N/A
162.159.41.59,4,4,0.00,80.08,0.00,N/A
108.162.198.164,4,4,0.00,80.25,0.00,N/A
198.41.219.239,4,4,0.00,175.81,0.00,N/A
104.17.84.122,4,4,0.00,182.77,0.00,N/A
104.18.69.252,4,4,0.00,183.54,0.00,N/A
104.17.17.34,4,4,0.00,183.65,0.00,N/A
104.16.50.83,4,4,0.00,184.36,0.00,N/A
104.18.16.102,4,4,0.00,184.38,0.00,N/A
104.16.83.4,4,4,0.00,184.88,0.00,N/A
104.16.101.16,4,4,0.00,185.27,0.00,N/A
104.17.33.138,4,4,0.00,185.50,0.00,N/A
104.16.5.161,4,4,0.00,186.09,0.00,N/A
104.17.88.97,4,4,0.00,186.22,0.00,N/A
104.19.226.94,4,4,0.00,186.64,0.00,N/A
104.18.95.120,4,4,0.00,186.66,0.00,N/A
104.19.55.54,4,4,0.00,186.71,0.00,N/A
104.17.28.159,4,4,0.00,186.85,0.00,N/A
162.159.82.149,4,4,0.00,186.93,0.00,N/A
141.101.90.127,4,4,0.00,186.93,0.00,N/A
104.18.86.188,4,4,0.00,187.12,0.00,N/A
104.16.89.146,4,4,0.00,187.16,0.00,N/A
104.16.3.151,4,4,0.00,187.20,0.00,N/A
104.19.72.117,4,4,0.00,187.33,0.00,N/A
104.19.251.112,4,4,0.00,187.42,0.00,N/A
104.18.105.91,4,4,0.00,187.46,0.00,N/A
104.16.27.242,4,4,0.00,187.47,0.00,N/A
104.16.49.137,4,4,0.00,187.54,0.00,N/A
104.17.142.128,4,4,0.00,187.56,0.00,N/A
104.18.133.82,4,4,0.00,187.81,0.00,N/A
104.16.4.213,4,4,0.00,187.87,0.00,N/A
104.19.152.29,4,4,0.00,188.07,0.00,N/A
104.16.56.29,4,4,0.00,188.24,0.00,N/A
104.16.1.200,4,4,0.00,188.26,0.00,N/A
162.159.81.187,4,4,0.00,188.43,0.00,N/A
104.17.93.68,4,4,0.00,188.45,0.00,N/A
104.16.100.179,4,4,0.00,188.52,0.00,N/A
104.18.124.167,4,4,0.00,188.67,0.00,N/A
104.16.35.170,4,4,0.00,189.13,0.00,N/A
198.41.202.45,4,4,0.00,189.92,0.00,N/A
104.17.136.130,4,4,0.00,190.13,0.00,N/A
104.16.2.85,4,4,0.00,190.14,0.00,N/A
104.16.20.249,4,4,0.00,190.57,0.00,N/A
104.16.70.182,4,4,0.00,190.69,0.00,N/A
198.41.216.241,4,4,0.00,190.92,0.00,N/A
190.93.244.238,4,4,0.00,190.95,0.00,N/A
104.17.3.75,4,4,0.00,191.00,0.00,N/A
104.16.255.208,4,4,0.00,191.09,0.00,N/A
162.159.192.115,4,4,0.00,191.39,0.00,N/A
104.16.123.157,4,4,0.00,191.66,0.00,N/A
104.18.11.100,4,4,0.00,191.73,0.00,N/A
104.16.85.62,4,4,0.00,192.04,0.00,N/A
162.159.195.207,4,4,0.00,192.31,0.00,N/A
104.16.24.166,4,4,0.00,192.78,0.00,N/A
162.159.201.28,4,4,0.00,193.27,0.00,N/A
104.19.45.172,4,4,0.00,193.56,0.00,N/A
104.19.80.235,4,4,0.00,193.56,0.00,N/A
104.18.136.106,4,4,0.00,193.57,0.00,N/A
104.16.81.136,4,4,0.00,193.62,0.00,N/A
104.16.26.228,4,4,0.00,193.80,0.00,N/A
104.16.250.141,4,4,0.00,194.39,0.00,N/A
104.16.43.11,4,4,0.00,194.75,0.00,N/A
104.16.110.166,4,4,0.00,200.65,0.00,N/A
104.16.113.56,4,4,0.00,208.31,0.00,N/A
162.159.196.102,4,4,0.00,211.40,0.00,N/A
104.17.121.213,4,4,0.00,214.36,0.00,N/A
104.20.18.6,4,4,0.00,217.32,0.00,N/A
162.159.149.222,4,4,0.00,219.97,0.00,N/A
104.21.115.182,4,4,0.00,223.15,0.00,N/A
162.159.94.235,4,4,0.00,223.77,0.00,N/A
162.159.151.241,4,4,0.00,227.11,0.00,N/A
104.21.77.154,4,4,0.00,227.61,0.00,N/A
162.159.159.21,4,4,0.00,230.87,0.00,N/A
104.21.8.207,4,4,0.00,232.12,0.00,N/A
104.20.20.123,4,4,0.00,233.02,0.00,N/A
104.21.23.163,4,4,0.00,234.23,0.00,N/A
104.21.13.113,4,4,0.00,235.65,0.00,N/A
104.21.2.187,4,4,0.00,238.64,0.00,N/A
104.21.1.140,4,4,0.00,240.46,0.00,N/A
162.159.91.151,4,4,0.00,240.88,0.00,N/A
188.114.96.228,4,4,0.00,242.88,0.00,N/A
104.21.19.93,4,4,0.00,245.36,0.00,N/A
104.21.104.201,4,4,0.00,245.68,0.00,N/A
188.114.98.213,4,4,0.00,246.31,0.00,N/A
188.114.97.55,4,4,0.00,247.40,0.00,N/A
104.21.6.75,4,4,0.00,251.40,0.00,N/A
188.114.99.82,4,4,0.00,257.38,0.00,N/A
162.159.90.139,4,4,0.00,259.29,0.00,N/A
162.159.60.1,4,3,0.25,66.98,0.00,N/A
173.245.59.227,4,3,0.25,68.72,0.00,N/A
173.245.58.16,4,3,0.25,69.47,0.00,N/A
108.162.194.101,4,3,0.25,71.65,0.00,N/A
108.162.195.66,4,3,0.25,73.50,0.00,N/A
198.41.211.33,4,3,0.25,73.98,0.00,N/A
104.18.38.124,4,3,0.25,75.08,0.00,N/A
104.18.39.130,4,3,0.25,75.40,0.00,N/A
162.159.5.99,4,3,0.25,92.88,0.00,N/A
162.159.42.27,4,3,0.25,102.38,0.00,N/A
104.18.246.133,4,3,0.25,180.86,0.00,N/A
104.18.116.172,4,3,0.25,181.35,0.00,N/A
104.17.26.131,4,3,0.25,181.40,0.00,N/A
104.19.124.78,4,3,0.25,181.61,0.00,N/A
104.16.25.214,4,3,0.25,182.00,0.00,N/A
104.18.23.100,4,3,0.25,182.03,0.00,N/A
104.17.102.235,4,3,0.25,182.51,0.00,N/A
104.17.38.220,4,3,0.25,182.63,0.00,N/A
104.16.73.73,4,3,0.25,182.66,0.00,N/A
104.17.151.147,4,3,0.25,182.70,0.00,N/A
198.41.218.245,4,3,0.25,183.51,0.00,N/A
104.18.140.222,4,3,0.25,183.54,0.00,N/A
198.41.204.165,4,3,0.25,184.12,0.00,N/A
104.16.54.144,4,3,0.25,184.17,0.00,N/A
198.41.198.2,4,3,0.25,184.35,0.00,N/A
104.16.90.212,4,3,0.25,184.39,0.00,N/A
104.18.127.193,4,3,0.25,184.52,0.00,N/A
104.16.16.83,4,3,0.25,184.58,0.00,N/A
104.16.127.154,4,3,0.25,184.69,0.00,N/A
104.16.105.32,4,3,0.25,184.70,0.00,N/A
104.16.14.43,4,3,0.25,184.72,0.00,N/A
104.17.36.148,4,3,0.25,184.73,0.00,N/A
104.19.132.80,4,3,0.25,184.73,0.00,N/A
104.18.94.181,4,3,0.25,184.76,0.00,N/A
104.19.7.180,4,3,0.25,184.91,0.00,N/A
104.18.110.235,4,3,0.25,184.97,0.00,N/A
104.16.126.238,4,3,0.25,184.98,0.00,N/A
104.18.57.155,4,3,0.25,185.06,0.00,N/A
104.17.15.254,4,3,0.25,185.35,0.00,N/A
104.16.103.191,4,3,0.25,185.46,0.00,N/A
104.17.61.216,4,3,0.25,185.64,0.00,N/A
104.19.108.28,4,3,0.25,185.72,0.00,N/A
104.19.48.95,4,3,0.25,185.80,0.00,N/A
104.17.30.39,4,3,0.25,186.19,0.00,N/A
104.16.97.70,4,3,0.25,186.19,0.00,N/A
104.18.137.244,4,3,0.25,186.22,0.00,N/A
104.18.54.229,4,3,0.25,186.22,0.00,N/A
104.19.154.23,4,3,0.25,186.50,0.00,N/A
104.17.135.81,4,3,0.25,186.53,0.00,N/A
104.16.92.185,4,3,0.25,186.54,0.00,N/A
104.19.213.89,4,3,0.25,186.56,0.00,N/A
104.19.239.186,4,3,0.25,186.62,0.00,N/A
104.16.117.57,4,3,0.25,186.66,0.00,N/A
198.41.194.163,4,3,0.25,186.73,0.00,N/A
104.19.57.180,4,3,0.25,186.83,0.00,N/A
104.18.138.96,4,3,0.25,186.85,0.00,N/A
104.19.58.181,4,3,0.25,187.03,0.00,N/A
104.17.92.193,4,3,0.25,187.27,0.00,N/A
141.101.123.140,4,3,0.25,187.36,0.00,N/A
104.19.148.129,4,3,0.25,187.54,0.00,N/A
104.18.91.55,4,3,0.25,187.54,0.00,N/A
104.16.62.254,4,3,0.25,187.61,0.00,N/A
104.19.11.69,4,3,0.25,187.80,0.00,N/A
104.16.125.53,4,3,0.25,187.96,0.00,N/A
104.19.73.167,4,3,0.25,188.20,0.00,N/A
104.17.166.198,4,3,0.25,188.22,0.00,N/A
104.19.63.83,4,3,0.25,188.23,0.00,N/A
104.16.19.18,4,3,0.25,188.30,0.00,N/A
104.17.66.220,4,3,0.25,188.36,0.00,N/A
104.16.61.204,4,3,0.25,188.40,0.00,N/A
104.17.59.34,4,3,0.25,188.53,0.00,N/A
198.41.208.194,4,3,0.25,188.62,0.00,N/A
173.245.49.28,4,3,0.25,188.63,0.00,N/A
104.16.57.147,4,3,0.25,188.63,0.00,N/A
104.16.58.171,4,3,0.25,188.65,0.00,N/A
104.18.62.86,4,3,0.25,188.68,0.00,N/A
198.41.206.3,4,3,0.25,188.76,0.00,N/A
104.16.21.98,4,3,0.25,188.80,0.00,N/A
104.18.12.18,4,3,0.25,189.04,0.00,N/A
104.17.245.248,4,3,0.25,189.14,0.00,N/A
104.16.87.49,4,3,0.25,189.40,0.00,N/A
198.41.200.72,4,3,0.25,189.50,0.00,N/A
104.19.102.86,4,3,0.25,189.53,0.00,N/A
104.17.62.38,4,3,0.25,189.67,0.00,N/A
104.19.106.205,4,3,0.25,189.89,0.00,N/A
141.101.122.244,4,3,0.25,189.98,0.00,N/A
104.16.88.139,4,3,0.25,190.01,0.00,N/A
190.93.247.86,4,3,0.25,190.05,0.00,N/A
104.16.55.30,4,3,0.25,190.09,0.00,N/A
104.17.79.124,4,3,0.25,190.09,0.00,N/A
162.159.202.127,4,3,0.25,190.21,0.00,N/A
104.19.21.49,4,3,0.25,190.30,0.00,N/A
104.17.29.169,4,3,0.25,190.31,0.00,N/A
141.101.115.232,4,3,0.25,190.38,0.00,N/A
198.41.201.84,4,3,0.25,190.41,0.00,N/A
104.18.229.131,4,3,0.25,190.55,0.00,N/A
198.41.192.5,4,3,0.25,190.56,0.00,N/A
104.19.89.8,4,3,0.25,190.58,0.00,N/A
162.159.193.160,4,3,0.25,190.58,0.00,N/A
104.18.102.157,4,3,0.25,190.66,0.00,N/A
104.19.244.205,4,3,0.25,190.69,0.00,N/A
104.18.233.214,4,3,0.25,190.80,0.00,N/A
104.18.231.140,4,3,0.25,190.83,0.00,N/A
104.18.103.75,4,3,0.25,190.91,0.00,N/A
104.19.243.177,4,3,0.25,190.92,0.00,N/A
104.19.119.230,4,3,0.25,190.93,0.00,N/A
104.16.72.240,4,3,0.25,190.93,0.00,N/A
104.19.149.250,4,3,0.25,190.99,0.00,N/A
104.16.74.168,4,3,0.25,191.06,0.00,N/A
104.19.255.47,4,3,0.25,191.12,0.00,N/A
104.18.85.94,4,3,0.25,191.18,0.00,N/A
104.17.114.91,4,3,0.25,191.19,0.00,N/A
104.18.131.144,4,3,0.25,191.23,0.00,N/A
104.19.250.220,4,3,0.25,191.48,0.00,N/A
104.18.67.175,4,3,0.25,191.48,0.00,N/A
104.18.120.177,4,3,0.25,191.48,0.00,N/A
104.18.1.93,4,3,0.25,191.55,0.00,N/A
104.17.141.24,4,3,0.25,191.59,0.00,N/A
104.17.138.223,4,3,0.25,191.69,0.00,N/A
104.17.2.80,4,3,0.25,191.75,0.00,N/A
104.17.63.125,4,3,0.25,191.78,0.00,N/A
104.19.68.116,4,3,0.25,191.91,0.00,N/A
104.17.60.222,4,3,0.25,191.92,0.00,N/A
104.16.102.92,4,3,0.25,191.94,0.00,N/A
104.16.37.245,4,3,0.25,191.98,0.00,N/A
104.17.242.197,4,3,0.25,192.04,0.00,N/A
141.101.114.232,4,3,0.25,192.07,0.00,N/A
104.19.137.212,4,3,0.25,192.13,0.00,N/A
104.18.87.118,4,3,0.25,192.20,0.00,N/A
104.19.5.181,4,3,0.25,192.33,0.00,N/A
104.16.9.126,4,3,0.25,192.54,0.00,N/A
104.18.244.226,4,3,0.25,192.61,0.00,N/A
104.16.6.66,4,3,0.25,192.90,0.00,N/A
104.19.151.21,4,3,0.25,192.93,0.00,N/A
104.19.17.188,4,3,0.25,192.98,0.00,N/A
104.17.64.98,4,3,0.25,193.01,0.00,N/A
104.29.143.141,4,3,0.25,193.10,0.00,N/A
104.18.30.130,4,3,0.25,193.22,0.00,N/A
104.17.234.252,4,3,0.25,193.25,0.00,N/A
104.16.23.21,4,3,0.25,193.34,0.00,N/A
104.17.94.45,4,3,0.25,193.64,0.00,N/A
104.19.59.21,4,3,0.25,193.72,0.00,N/A
104.18.150.118,4,3,0.25,193.81,0.00,N/A
104.19.219.79,4,3,0.25,193.83,0.00,N/A
104.16.44.240,4,3,0.25,194.01,0.00,N/A
104.16.138.5,4,3,0.25,194.22,0.00,N/A
103.21.244.48,4,3,0.25,194.66,0.00,N/A
104.18.235.67,4,3,0.25,194.69,0.00,N/A
104.19.62.229,4,3,0.25,194.82,0.00,N/A
104.21.230.19,4,3,0.25,195.65,0.00,N/A
104.17.85.152,4,3,0.25,196.09,0.00,N/A
104.16.13.234,4,3,0.25,196.34,0.00,N/A
104.16.122.157,4,3,0.25,196.43,0.00,N/A
104.16.8.187,4,3,0.25,196.78,0.00,N/A
104.18.24.72,4,3,0.25,197.73,0.00,N/A
104.17.56.65,4,3,0.25,198.91,0.00,N/A
104.17.90.145,4,3,0.25,199.09,0.00,N/A
104.16.112.69,4,3,0.25,200.16,0.00,N/A
104.17.89.42,4,3,0.25,200.81,0.00,N/A
104.21.233.241,4,3,0.25,200.90,0.00,N/A
172.66.199.244,4,3,0.25,201.01,0.00,N/A
104.16.253.44,4,3,0.25,201.63,0.00,N/A
104.16.77.112,4,3,0.25,204.15,0.00,N/A
104.16.249.26,4,3,0.25,204.82,0.00,N/A
104.16.119.199,4,3,0.25,208.35,0.00,N/A
172.66.210.143,4,3,0.25,208.52,0.00,N/A
104.20.60.105,4,3,0.25,210.97,0.00,N/A
172.66.192.57,4,3,0.25,211.57,0.00,N/A
104.20.8.213,4,3,0.25,211.95,0.00,N/A
172.66.194.220,4,3,0.25,212.92,0.00,N/A
104.16.252.226,4,3,0.25,214.52,0.00,N/A
141.101.113.17,4,3,0.25,214.61,0.00,N/A
172.66.193.214,4,3,0.25,214.83,0.00,N/A
172.67.205.226,4,3,0.25,216.21,0.00,N/A
104.29.137.204,4,3,0.25,216.76,0.00,N/A
104.21.52.137,4,3,0.25,216.85,0.00,N/A
162.159.128.175,4,3,0.25,217.87,0.00,N/A
104.21.59.66,4,3,0.25,218.45,0.00,N/A
172.67.123.12,4,3,0.25,218.48,0.00,N/A
162.159.92.193,4,3,0.25,219.44,0.00,N/A
104.20.37.217,4,3,0.25,219.66,0.00,N/A
162.159.146.224,4,3,0.25,219.94,0.00,N/A
104.20.11.198,4,3,0.25,220.38,0.00,N/A
104.21.26.185,4,3,0.25,221.71,0.00,N/A
104.20.61.214,4,3,0.25,222.06,0.00,N/A
172.66.153.112,4,3,0.25,222.47,0.00,N/A
104.21.97.71,4,3,0.25,222.49,0.00,N/A
104.21.50.233,4,3,0.25,222.85,0.00,N/A
104.20.17.97,4,3,0.25,222.87,0.00,N/A
104.20.57.208,4,3,0.25,223.19,0.00,N/A
104.21.69.175,4,3,0.25,223.45,0.00,N/A
162.159.93.67,4,3,0.25,223.68,0.00,N/A
104.21.95.53,4,3,0.25,223.85,0.00,N/A
172.67.233.15,4,3,0.25,225.42,0.00,N/A
104.20.50.64,4,3,0.25,225.94,0.00,N/A
104.21.31.106,4,3,0.25,227.51,0.00,N/A
104.21.84.237,4,3,0.25,228.17,0.00,N/A
172.66.162.148,4,3,0.25,228.42,0.00,N/A
104.20.54.242,4,3,0.25,229.16,0.00,N/A
104.21.101.95,4,3,0.25,229.29,0.00,N/A
104.21.68.213,4,3,0.25,229.40,0.00,N/A
104.21.22.251,4,3,0.25,229.49,0.00,N/A
172.67.188.0,4,3,0.25,229.80,0.00,N/A
172.67.213.43,4,3,0.25,229.88,0.00,N/A
104.20.59.181,4,3,0.25,230.24,0.00,N/A
104.21.91.129,4,3,0.25,230.36,0.00,N/A
172.67.197.184,4,3,0.25,230.68,0.00,N/A
172.67.139.178,4,3,0.25,230.74,0.00,N/A
104.20.24.164,4,3,0.25,231.00,0.00,N/A
104.21.17.188,4,3,0.25,231.38,0.00,N/A
104.21.99.192,4,3,0.25,231.57,0.00,N/A
104.21.112.153,4,3,0.25,232.74,0.00,N/A
162.159.152.144,4,3,0.25,232.89,0.00,N/A
104.21.51.104,4,3,0.25,232.89,0.00,N/A
104.21.103.136,4,3,0.25,233.14,0.00,N/A
172.67.65.60,4,3,0.25,233.48,0.00,N/A
104.21.116.20,4,3,0.25,233.99,0.00,N/A
172.67.190.9,4,3,0.25,234.42,0.00,N/A
104.21.25.123,4,3,0.25,235.25,0.00,N/A
104.21.82.57,4,3,0.25,235.45,0.00,N/A
104.21.96.208,4,3,0.25,236.10,0.00,N/A
104.21.205.121,4,3,0.25,236.48,0.00,N/A
172.67.187.15,4,3,0.25,237.42,0.00,N/A
172.67.194.33,4,3,0.25,237.66,0.00,N/A
104.21.53.34,4,3,0.25,238.20,0.00,N/A
172.67.189.46,4,3,0.25,240.45,0.00,N/A
172.67.207.121,4,3,0.25,242.01,0.00,N/A
104.21.100.208,4,3,0.25,242.79,0.00,N/A
104.21.210.247,4,3,0.25,243.19,0.00,N/A
104.21.92.83,4,3,0.25,243.54,0.00,N/A
104.21.67.111,4,3,0.25,244.35,0.00,N/A
104.21.16.19,4,3,0.25,244.49,0.00,N/A
104.21.113.31,4,3,0.25,246.44,0.00,N/A
172.67.155.245,4,3,0.25,247.35,0.00,N/A
104.21.61.61,4,3,0.25,249.41,0.00,N/A
104.21.198.26,4,3,0.25,252.03,0.00,N/A
104.21.34.144,4,3,0.25,252.36,0.00,N/A
104.21.121.16,4,3,0.25,252.91,0.00,N/A
104.21.28.223,4,3,0.25,253.08,0.00,N/A
104.21.38.136,4,3,0.25,257.00,0.00,N/A
104.21.126.104,4,3,0.25,258.41,0.00,N/A
104.21.200.75,4,3,0.25,260.07,0.00,N/A
104.31.0.15,4,3,0.25,303.38,0.00,N/A
162.159.43.69,4,2,0.50,63.06,0.00,N/A
172.64.38.244,4,2,0.50,69.83,0.00,N/A
104.18.37.171,4,2,0.50,70.90,0.00,N/A
104.18.41.72,4,2,0.50,72.42,0.00,N/A
104.18.33.59,4,2,0.50,73.12,0.00,N/A
108.162.192.250,4,2,0.50,75.40,0.00,N/A
162.159.39.210,4,2,0.50,76.89,0.00,N/A
108.162.196.102,4,2,0.50,79.32,0.00,N/A
198.41.222.232,4,2,0.50,80.29,0.00,N/A
162.159.20.116,4,2,0.50,84.35,0.00,N/A
198.41.197.159,4,2,0.50,178.68,0.00,N/A
104.19.111.15,4,2,0.50,180.15,0.00,N/A
104.17.254.177,4,2,0.50,180.65,0.00,N/A
104.18.113.195,4,2,0.50,180.73,0.00,N/A
104.19.134.102,4,2,0.50,180.97,0.00,N/A
104.17.87.161,4,2,0.50,181.00,0.00,N/A
104.18.122.220,4,2,0.50,181.13,0.00,N/A
104.19.61.124,4,2,0.50,181.21,0.00,N/A
104.16.34.11,4,2,0.50,181.31,0.00,N/A
104.17.132.163,4,2,0.50,181.35,0.00,N/A
104.16.133.6,4,2,0.50,181.52,0.00,N/A
104.19.253.29,4,2,0.50,181.55,0.00,N/A
104.19.101.241,4,2,0.50,181.88,0.00,N/A
104.16.251.46,4,2,0.50,182.27,0.00,N/A
104.16.115.209,4,2,0.50,182.37,0.00,N/A
104.17.65.70,4,2,0.50,182.37,0.00,N/A
104.16.7.132,4,2,0.50,182.50,0.00,N/A
104.17.177.180,4,2,0.50,182.76,0.00,N/A
104.19.19.179,4,2,0.50,182.80,0.00,N/A
104.18.247.250,4,2,0.50,183.20,0.00,N/A
104.17.155.134,4,2,0.50,183.21,0.00,N/A
104.19.87.195,4,2,0.50,183.32,0.00,N/A
104.16.11.81,4,2,0.50,183.46,0.00,N/A
104.17.101.214,4,2,0.50,183.59,0.00,N/A
104.17.74.127,4,2,0.50,183.85,0.00,N/A
104.16.106.27,4,2,0.50,183.91,0.00,N/A
104.17.129.198,4,2,0.50,183.96,0.00,N/A
104.17.75.220,4,2,0.50,183.96,0.00,N/A
172.66.47.77,4,2,0.50,183.96,0.00,N/A
104.18.225.142,4,2,0.50,184.02,0.00,N/A
104.16.31.151,4,2,0.50,184.03,0.00,N/A
104.18.254.74,4,2,0.50,184.17,0.00,N/A
104.18.99.62,4,2,0.50,184.34,0.00,N/A
104.16.129.118,4,2,0.50,184.46,0.00,N/A
104.19.153.156,4,2,0.50,184.62,0.00,N/A
104.17.128.214,4,2,0.50,184.83,0.00,N/A
104.19.12.128,4,2,0.50,184.85,0.00,N/A
104.17.112.20,4,2,0.50,185.05,0.00,N/A
104.16.30.53,4,2,0.50,185.10,0.00,N/A
198.41.193.57,4,2,0.50,185.19,0.00,N/A
104.17.248.124,4,2,0.50,185.26,0.00,N/A
104.17.104.6,4,2,0.50,185.29,0.00,N/A
104.18.13.92,4,2,0.50,185.35,0.00,N/A
172.65.245.95,4,2,0.50,185.36,0.00,N/A
104.19.99.224,4,2,0.50,185.38,0.00,N/A
104.19.254.172,4,2,0.50,185.60,0.00,N/A
104.19.224.5,4,2,0.50,185.61,0.00,N/A
104.19.242.80,4,2,0.50,185.70,0.00,N/A
104.16.52.208,4,2,0.50,185.72,0.00,N/A
104.16.80.49,4,2,0.50,185.78,0.00,N/A
104.17.58.177,4,2,0.50,185.91,0.00,N/A
172.66.44.14,4,2,0.50,185.99,0.00,N/A
198.41.214.149,4,2,0.50,186.11,0.00,N/A
104.19.70.209,4,2,0.50,186.22,0.00,N/A
104.17.73.128,4,2,0.50,186.35,0.00,N/A
104.17.1.230,4,2,0.50,186.42,0.00,N/A
104.19.15.85,4,2,0.50,186.61,0.00,N/A
104.18.251.119,4,2,0.50,186.66,0.00,N/A
104.16.104.112,4,2,0.50,186.81,0.00,N/A
104.18.106.251,4,2,0.50,186.91,0.00,N/A
104.17.118.123,4,2,0.50,186.94,0.00,N/A
104.18.66.67,4,2,0.50,187.02,0.00,N/A
104.17.0.69,4,2,0.50,187.09,0.00,N/A
104.18.0.31,4,2,0.50,187.25,0.00,N/A
104.19.82.35,4,2,0.50,187.30,0.00,N/A
104.19.51.95,4,2,0.50,187.39,0.00,N/A
104.17.197.210,4,2,0.50,187.41,0.00,N/A
104.18.121.234,4,2,0.50,187.42,0.00,N/A
104.17.72.219,4,2,0.50,187.51,0.00,N/A
104.16.124.204,4,2,0.50,187.52,0.00,N/A
104.16.65.107,4,2,0.50,187.81,0.00,N/A
104.17.71.193,4,2,0.50,187.88,0.00,N/A
104.17.70.142,4,2,0.50,187.89,0.00,N/A
104.16.132.42,4,2,0.50,187.93,0.00,N/A
104.16.82.100,4,2,0.50,188.09,0.00,N/A
172.65.203.51,4,2,0.50,188.11,0.00,N/A
104.17.119.141,4,2,0.50,188.16,0.00,N/A
104.19.109.38,4,2,0.50,188.16,0.00,N/A
198.41.217.74,4,2,0.50,188.18,0.00,N/A
104.19.120.155,4,2,0.50,188.21,0.00,N/A
104.19.83.50,4,2,0.50,188.25,0.00,N/A
104.19.16.19,4,2,0.50,188.43,0.00,N/A
198.41.196.178,4,2,0.50,188.45,0.00,N/A
198.41.195.49,4,2,0.50,188.46,0.00,N/A
198.41.207.133,4,2,0.50,188.50,0.00,N/A
104.18.144.49,4,2,0.50,188.54,0.00,N/A
104.16.149.69,4,2,0.50,188.56,0.00,N/A
104.19.65.185,4,2,0.50,188.56,0.00,N/A
198.41.205.226,4,2,0.50,188.64,0.00,N/A
104.17.98.36,4,2,0.50,188.67,0.00,N/A
104.17.99.202,4,2,0.50,188.67,0.00,N/A
104.19.66.248,4,2,0.50,188.73,0.00,N/A
104.18.108.88,4,2,0.50,188.79,0.00,N/A
104.17.69.75,4,2,0.50,188.83,0.00,N/A
104.18.238.177,4,2,0.50,188.85,0.00,N/A
104.17.137.96,4,2,0.50,188.89,0.00,N/A
104.17.246.81,4,2,0.50,188.98,0.00,N/A
104.17.39.64,4,2,0.50,188.99,0.00,N/A
104.19.133.137,4,2,0.50,189.12,0.00,N/A
104.17.44.86,4,2,0.50,189.17,0.00,N/A
104.17.95.164,4,2,0.50,189.24,0.00,N/A
104.18.92.177,4,2,0.50,189.24,0.00,N/A
